size,material,print,finish,cut,quantity,price,price_num,timestamp,error
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,без порізки,10,38 ₴,38,2026-04-14T11:34:21.755190,
148x210,самоклеючий папір з надсічками,без друку,без оздоблення,порізка,15,68 ₴,68,2026-04-14T11:34:23.431769,
148x210,самоклеючий папір з надсічками,без друку,без оздоблення,порізка,20,78 ₴,78,2026-04-14T11:34:24.782658,
148x210,самоклеючий папір з надсічками,4+0,soft touch,плоттер,20,452 ₴,452,2026-04-14T11:34:24.105564,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,плоттер,25,480 ₴,480,2026-04-14T11:34:24.106629,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,без порізки,15,51 ₴,51,2026-04-14T11:34:24.470138,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,порізка,15,77 ₴,77,2026-04-14T11:34:24.469366,
148x210,самоклеючий папір з надсічками,без друку,без оздоблення,порізка,25,99 ₴,99,2026-04-14T11:34:26.146115,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,плоттер,50,848 ₴,848,2026-04-14T11:34:26.175326,
148x210,самоклеючий папір з надсічками,4+0,soft touch,плоттер,25,563 ₴,563,2026-04-14T11:34:26.174471,
148x210,самоклеючий папір з надсічками,без друку,без оздоблення,порізка,50,162 ₴,162,2026-04-14T11:34:27.495646,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,без порізки,20,63 ₴,63,2026-04-14T11:34:27.165615,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,порізка,20,89 ₴,89,2026-04-14T11:34:27.166354,
148x210,самоклеючий папір з надсічками,без друку,без оздоблення,порізка,100,286 ₴,286,2026-04-14T11:34:28.842347,
148x210,самоклеючий папір з надсічками,4+0,soft touch,плоттер,50,1007 ₴,1007,2026-04-14T11:34:28.530867,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,плоттер,100,1607 ₴,1607,2026-04-14T11:34:28.530049,
148x210,самоклеючий папір з надсічками,без друку,без оздоблення,порізка,150,421 ₴,421,2026-04-14T11:34:30.204639,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,порізка,25,115 ₴,115,2026-04-14T11:34:29.875926,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,без порізки,25,89 ₴,89,2026-04-14T11:34:29.875146,
148x210,самоклеючий папір з надсічками,без друку,без оздоблення,порізка,200,546 ₴,546,2026-04-14T11:34:31.567809,
148x210,самоклеючий папір з надсічками,4+0,soft touch,плоттер,100,1926 ₴,1926,2026-04-14T11:34:31.224188,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,плоттер,150,2354 ₴,2354,2026-04-14T11:34:31.225049,
148x210,самоклеючий папір з надсічками,без друку,без оздоблення,порізка,250,681 ₴,681,2026-04-14T11:34:32.919510,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,порізка,50,190 ₴,190,2026-04-14T11:34:32.591220,
