size,material,print,finish,cut,quantity,price,price_num
297x420,самоклеючий папір з надсічками,1+0,фігурна надсічка,без порізки,250,No price (ашируванняфурнітура не знайдено пропозиції з такими параметрами Доставка: самовивіз з представництв «dpi.ua»; до відділення),
297x420,самоклеючий папір з надсічками,1+0,soft touch,без порізки,15,416 ₴,416
297x420,самоклеючий папір з надсічками,1+0,фігурна надсічка,без порізки,5,No price (ашируванняфурнітура не знайдено пропозиції з такими параметрами Доставка: самовивіз з представництв «dpi.ua»; до відділення),
297x420,самоклеючий папір з надсічками,1+0,фігурна надсічка,без порізки,50,No price (ашируванняфурнітура не знайдено пропозиції з такими параметрами Доставка: самовивіз з представництв «dpi.ua»; до відділення),
297x420,самоклеючий папір з надсічками,1+0,фігурна надсічка,без порізки,300,No price (ашируванняфурнітура не знайдено пропозиції з такими параметрами Доставка: самовивіз з представництв «dpi.ua»; до відділення),
297x420,самоклеючий папір з надсічками,1+0,фігурна надсічка,без порізки,10,No price (ашируванняфурнітура не знайдено пропозиції з такими параметрами Доставка: самовивіз з представництв «dpi.ua»; до відділення),
297x420,самоклеючий папір з надсічками,1+0,фігурна надсічка,без порізки,100,No price (ашируванняфурнітура не знайдено пропозиції з такими параметрами Доставка: самовивіз з представництв «dpi.ua»; до відділення),
297x420,самоклеючий папір з надсічками,1+0,фігурна надсічка,без порізки,500,No price (ашируванняфурнітура не знайдено пропозиції з такими параметрами Доставка: самовивіз з представництв «dpi.ua»; до відділення),
297x420,самоклеючий папір з надсічками,1+0,soft touch,без порізки,150,3869 ₴,3869
297x420,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,1,61 ₴,61
297x420,самоклеючий папір з надсічками,1+0,soft touch,без порізки,1000,25347 ₴,25347
297x420,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,3,103 ₴,103
297x420,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,20,458 ₴,458
297x420,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,10,249 ₴,249
297x420,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,25,562 ₴,562
297x420,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,5,145 ₴,145
297x420,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,200,4009 ₴,4009
297x420,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,100,2036 ₴,2036
297x420,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,50,1055 ₴,1055
