size,material,print,finish,cut,quantity,price,price_num,timestamp,error
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,3000,38147 ₴,38147,2026-04-14T15:54:03.119230,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,10000,83989 ₴,83989,2026-04-14T15:54:04.056521,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,2500,31471 ₴,31471,2026-04-14T15:54:04.104130,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,30000,255809 ₴,255809,2026-04-14T15:54:05.049157,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,3000,37424 ₴,37424,2026-04-14T15:54:05.475847,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,5000,63537 ₴,63537,2026-04-14T15:54:06.124958,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,20000,167928 ₴,167928,2026-04-14T15:54:07.053832,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,3000,37753 ₴,37753,2026-04-14T15:54:07.116916,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,5000,62331 ₴,62331,2026-04-14T15:54:08.494085,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,10000,127010 ₴,127010,2026-04-14T15:54:09.111439,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,30000,251867 ₴,251867,2026-04-14T15:54:10.061604,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,5000,62880 ₴,62880,2026-04-14T15:54:10.109145,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,10000,124599 ₴,124599,2026-04-14T15:54:11.477793,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,1,56 ₴,56,2026-04-14T15:54:12.025130,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,20000,253957 ₴,253957,2026-04-14T15:54:12.106265,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,10000,125696 ₴,125696,2026-04-14T15:54:13.113017,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,20000,249136 ₴,249136,2026-04-14T15:54:14.477182,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,3,97 ₴,97,2026-04-14T15:54:15.044575,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,30000,380903 ₴,380903,2026-04-14T15:54:15.105597,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,20000,251329 ₴,251329,2026-04-14T15:54:16.115627,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,1,88 ₴,88,2026-04-14T15:54:17.029734,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,30000,373672 ₴,373672,2026-04-14T15:54:17.493400,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,5,139 ₴,139,2026-04-14T15:54:18.062659,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,30000,376961 ₴,376961,2026-04-14T15:54:19.113579,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,3,136 ₴,136,2026-04-14T15:54:20.044465,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,10,203 ₴,203,2026-04-14T15:54:21.052111,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,1,62 ₴,62,2026-04-14T15:54:22.088670,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,5,184 ₴,184,2026-04-14T15:54:23.054432,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,20,343 ₴,343,2026-04-14T15:54:24.061808,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,1,51 ₴,51,2026-04-14T15:54:24.116299,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,1,74 ₴,74,2026-04-14T15:54:24.471632,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,3,110 ₴,110,2026-04-14T15:54:25.121200,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,10,261 ₴,261,2026-04-14T15:54:26.053966,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,30,482 ₴,482,2026-04-14T15:54:27.050088,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,3,122 ₴,122,2026-04-14T15:54:27.113448,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,3,162 ₴,162,2026-04-14T15:54:27.493218,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,5,158 ₴,158,2026-04-14T15:54:28.111881,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,20,433 ₴,433,2026-04-14T15:54:29.049710,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,5,232 ₴,232,2026-04-14T15:54:30.492161,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,5,174 ₴,174,2026-04-14T15:54:30.116809,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,48,732 ₴,732,2026-04-14T15:54:30.053514,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,10,384 ₴,384,2026-04-14T15:54:31.849555,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,10,235 ₴,235,2026-04-14T15:54:30.603088,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,50,759 ₴,759,2026-04-14T15:54:31.874087,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,30,604 ₴,604,2026-04-14T15:54:31.597513,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,10,282 ₴,282,2026-04-14T15:54:31.873209,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,20,688 ₴,688,2026-04-14T15:54:33.211205,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,20,407 ₴,407,2026-04-14T15:54:33.885776,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,48,911 ₴,911,2026-04-14T15:54:34.231903,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,96,1389 ₴,1389,2026-04-14T15:54:34.230572,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,20,498 ₴,498,2026-04-14T15:54:34.233096,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,30,990 ₴,990,2026-04-14T15:54:34.557866,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,30,578 ₴,578,2026-04-14T15:54:36.877610,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,30,712 ₴,712,2026-04-14T15:54:37.243717,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,50,945 ₴,945,2026-04-14T15:54:37.242328,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,100,1443 ₴,1443,2026-04-14T15:54:37.243084,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,48,1528 ₴,1528,2026-04-14T15:54:37.602107,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,48,885 ₴,885,2026-04-14T15:54:39.891129,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,150,2114 ₴,2114,2026-04-14T15:54:40.238974,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,48,1091 ₴,1091,2026-04-14T15:54:40.237116,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,96,1721 ₴,1721,2026-04-14T15:54:40.238248,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,50,1587 ₴,1587,2026-04-14T15:54:40.595318,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,50,919 ₴,919,2026-04-14T15:54:42.883948,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,50,1133 ₴,1133,2026-04-14T15:54:43.234392,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,100,1788 ₴,1788,2026-04-14T15:54:43.235080,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,200,2774 ₴,2774,2026-04-14T15:54:43.233409,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,96,2934 ₴,2934,2026-04-14T15:54:43.609702,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,96,1695 ₴,1695,2026-04-14T15:54:45.883276,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,96,2074 ₴,2074,2026-04-14T15:54:46.247549,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,250,3421 ₴,3421,2026-04-14T15:54:46.249162,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,150,2619 ₴,2619,2026-04-14T15:54:46.248551,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,100,3049 ₴,3049,2026-04-14T15:54:46.610165,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,100,1762 ₴,1762,2026-04-14T15:54:48.883194,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,300,4055 ₴,4055,2026-04-14T15:54:49.247474,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,200,3437 ₴,3437,2026-04-14T15:54:49.248100,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,100,2153 ₴,2153,2026-04-14T15:54:49.246758,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,150,4461 ₴,4461,2026-04-14T15:54:49.604999,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,150,2593 ₴,2593,2026-04-14T15:54:51.879656,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,250,4250 ₴,4250,2026-04-14T15:54:52.244697,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,350,4677 ₴,4677,2026-04-14T15:54:52.243802,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,150,3125 ₴,3125,2026-04-14T15:54:52.245370,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,200,5822 ₴,5822,2026-04-14T15:54:52.605919,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,200,3411 ₴,3411,2026-04-14T15:54:54.882018,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,200,4045 ₴,4045,2026-04-14T15:54:55.247563,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,300,5050 ₴,5050,2026-04-14T15:54:55.245753,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,400,5287 ₴,5287,2026-04-14T15:54:55.246727,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,250,7136 ₴,7136,2026-04-14T15:54:55.612106,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,300,8401 ₴,8401,2026-04-14T15:54:58.612526,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,450,5885 ₴,5885,2026-04-14T15:54:58.249051,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,250,4217 ₴,4217,2026-04-14T15:54:57.884459,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,350,5839 ₴,5839,2026-04-14T15:54:58.248465,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,250,4918 ₴,4918,2026-04-14T15:54:58.247655,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,350,9614 ₴,9614,2026-04-14T15:54:59.965453,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,400,10977 ₴,10977,2026-04-14T15:55:01.319911,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,300,5741 ₴,5741,2026-04-14T15:55:00.810141,
210x297,самоклеючий папір з надсічками,4+0,soft touch,порізка,400,6615 ₴,6615,2026-04-14T15:55:00.809479,
210x297,самоклеючий папір з надсічками,4+0,soft touch,без порізки,300,5011 ₴,5011,2026-04-14T15:55:00.808822,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,500,6470 ₴,6470,2026-04-14T15:55:00.805316,
